block_label,block_content
Unknown,Then I wait for 23 seconds
Unknown,"When I swipe card using this params:
| track1_data | B<pan>^<name>^<exp_date><code><disc_data_t1> |
| track2_data | <pan>=<exp_date><code><disc_data_t2>         |
| track3_data |                                              |"
Unknown,And I wait for 2 seconds
Unknown,"Then I should receive the 41.x Card Read Message response from terminal with params:
| p41_res_source          | M                                            |
| p41_res_encryption      | 00                                           |
| p41_res_track_1_status  | 0                                            |
| p41_res_track_2_status  | 0                                            |
| p41_res_track_3_status  | 1                                            |
| p41_res_track_1         | B<pan>^<name>^<exp_date><code><disc_data_t1> |
| p41_res_track_2         | <pan>=<exp_date><code><disc_data_t2>         |
| p41_res_track_3         |                                              |
| p41_res_pan             | <pan>                                        |
| p41_res_masked_pan      | <pan>                                        |
| p41_res_expiration_date | <exp_date>                                   |
| p41_res_account_name    | <name>                                       |
| p41_res_error_code      | 0                                            |"
Extract Card Data,"When I send a 29.x Get Variable message to the terminal with:
| p29_req_variable_id | 398 |
Then I should receive the 29.x Get Variable response from terminal with params:
| p29_res_status        | 2      |
| p29_res_variable_id   | 000398 |
| p29_res_variable_data | <pan>  |
When I send a 29.x Get Variable message to the terminal with:
| p29_req_variable_id | 399 |
Then I should receive the 29.x Get Variable response from terminal with params:
| p29_res_status        | 2      |
| p29_res_variable_id   | 000399 |
| p29_res_variable_data |<name>  |
When I send a 29.x Get Variable message to the terminal with:
| p29_req_variable_id | 400 |
Then I should receive the 29.x Get Variable response from terminal with params:
| p29_res_status        | 2          |
| p29_res_variable_id   | 000400     |
| p29_res_variable_data | <exp_date> |"
Precondition,"When I send a 00.x Offline message to the terminal with params:
| p00_req_reason_code | 0000 |
Then I should receive the 00.x Offline response from terminal with params:
| p00_res_reason_code | 0000 |
Examples:
| card_type  | pan                 | name                      | exp_date | code | disc_data_t1         | disc_data_t2  |
| MasterCard | 6799998900000201011 | EKRLOFKPUUTQURT/ALMPWTZUL | 2007     | 707  | 122560965000469      | 965000469     |
| VISA       | 34798979016630      | XNHKBPMOENSGWLH/VVKLBTTVC | 2011     | 885  | 131026887693372      | 887693372     |
| AMEX 1     | 3715841319          | YYBROXFQJRXJW/EVXOV       | 2001     | 442  | 57431313685          | 13685         |
| DISCOVER   | 6510000000000091    | CARD/IMAGE 09             | 1712     | 702  | 1000041300000        | 1000041300000 |
| Diners     | 36039667170472      | PETTITT/JO                | 0012     | 521  | 16010000000000000946 | 1000041300000 |
Scenario Outline:  Check MSR flow using 41.x (track1 only)
Given I send a 00.x Offline message to the terminal with params:
| p00_req_reason_code | 0000 |
Then I should receive the 00.x Offline response from terminal with params:
| p00_res_reason_code | 0000 |
And I Wait until Element ""title"" contains ""This Lane Closed""
And I wait until Element ""imageOffline"" visible"
Unknown,"When I send a 41.x Card Read Message message to the terminal with params:
| p41_req_parse_flag       | 1 |
| p41_req_msr_flag         | 1 |
| p41_req_contactless_flag | 0 |
| p41_req_smc_flag         | 0 |"
Unknown,Then I wait for 3 seconds
Unknown,"When I swipe card using this params:
| track1_data | B<pan>^<name>^<exp_date><code><disc_data_t1> |
| track2_data |                                              |
| track3_data |                                              |"
Unknown,And I wait for 2 seconds
Unknown,"Then I should receive the 41.x Card Read Message response from terminal with params:
| p41_res_source          | M                                            |
| p41_res_encryption      | 00                                           |
| p41_res_track_1_status  | 0                                            |
| p41_res_track_2_status  | 1                                            |
| p41_res_track_3_status  | 1                                            |
| p41_res_track_1         | B<pan>^<name>^<exp_date><code><disc_data_t1> |
| p41_res_track_2         |                                              |
| p41_res_track_3         |                                              |
| p41_res_pan             | <pan>                                        |
| p41_res_masked_pan      | <pan>                                        |
| p41_res_expiration_date | <exp_date>                                   |
| p41_res_account_name    | <name>                                       |
| p41_res_error_code      | 0                                            |"
Extract Card Data,"When I send a 29.x Get Variable message to the terminal with:
| p29_req_variable_id | 398 |
Then I should receive the 29.x Get Variable response from terminal with params:
| p29_res_status        | 2      |
| p29_res_variable_id   | 000398 |
| p29_res_variable_data | <pan>  |
When I send a 29.x Get Variable message to the terminal with:
| p29_req_variable_id | 399 |
Then I should receive the 29.x Get Variable response from terminal with params:
| p29_res_status        | 2      |
| p29_res_variable_id   | 000399 |
| p29_res_variable_data |<name>  |
When I send a 29.x Get Variable message to the terminal with:
| p29_req_variable_id | 400 |
Then I should receive the 29.x Get Variable response from terminal with params:
| p29_res_status        | 2          |
| p29_res_variable_id   | 000400     |
| p29_res_variable_data | <exp_date> |"
Precondition,"When I send a 00.x Offline message to the terminal with params:
| p00_req_reason_code | 0000 |
Then I should receive the 00.x Offline response from terminal with params:
| p00_res_reason_code | 0000 |
Examples:
| card_type  | pan                 | name                      | exp_date | code | disc_data_t1         |
| MasterCard | 6799998900000201011 | EKRLOFKPUUTQURT/ALMPWTZUL | 2007     | 707  | 122560965000469      |
| VISA       | 34798979016630      | XNHKBPMOENSGWLH/VVKLBTTVC | 2011     | 885  | 131026887693372      |
| AMEX 1     | 3715841319          | YYBROXFQJRXJW/EVXOV       | 2001     | 442  | 57431313685          |
| DISCOVER   | 6510000000000091    | CARD/IMAGE 09             | 1712     | 702  | 1000041300000        |
| Diners     | 36039667170472      | PETTITT/JO                | 0012     | 521  | 16010000000000000946 |
Scenario Outline: Check MSR flow while using 41.x (track2 only)
Given I send a 00.x Offline message to the terminal with:
| p00_req_reason_code | 0000 |
Then I should receive the 00.x Offline response from terminal with params:
| p00_res_reason_code | 0000 |
And I Wait until Element ""title"" contains ""This Lane Closed""
And I wait until Element ""imageOffline"" visible"
Unknown,"When I send a 41.x Card Read Message message to the terminal with params:
| p41_req_parse_flag       | 1 |
| p41_req_msr_flag         | 1 |
| p41_req_contactless_flag | 0 |
| p41_req_smc_flag         | 0 |"
Unknown,Then I wait for 3 seconds
Unknown,"When I swipe card using this params:
| track1_data |                                      |
| track2_data | <pan>=<exp_date><code><disc_data_t2> |
| track3_data |                                      |"
Unknown,And I wait for 2 seconds
Unknown,"Then I should receive the 41.x Card Read Message response from terminal with params:
| p41_res_source          | M                                    |
| p41_res_encryption      | 00                                   |
| p41_res_track_1_status  | 1                                    |
| p41_res_track_2_status  | 0                                    |
| p41_res_track_3_status  | 1                                    |
| p41_res_track_1         |                                      |
| p41_res_track_2         | <pan>=<exp_date><code><disc_data_t2> |
| p41_res_track_3         |                                      |
| p41_res_pan             | <pan>                                |
| p41_res_masked_pan      | <pan>                                |
| p41_res_expiration_date | <exp_date>                           |
| p41_res_account_name    |                                      |
| p41_res_error_code      | 0                                    |"
Extract Card Data,"When I send a 29.x Get Variable message to the terminal with:
| p29_req_variable_id | 398 |
Then I should receive the 29.x Get Variable response from terminal with params:
| p29_res_status        | 2      |
| p29_res_variable_id   | 000398 |
| p29_res_variable_data | <pan>  |
When I send a 29.x Get Variable message to the terminal with:
| p29_req_variable_id | 399 |
Then I should receive the 29.x Get Variable response from terminal with params:
| p29_res_status        | 2      |
| p29_res_variable_id   | 000399 |
| p29_res_variable_data |        |
When I send a 29.x Get Variable message to the terminal with:
| p29_req_variable_id | 400 |
Then I should receive the 29.x Get Variable response from terminal with params:
| p29_res_status        | 2          |
| p29_res_variable_id   | 000400     |
| p29_res_variable_data | <exp_date> |"
Precondition,"When I send a 00.x Offline message to the terminal with params:
| p00_req_reason_code | 0000 |
Then I should receive the 00.x Offline response from terminal with params:
| p00_res_reason_code | 0000 |
Examples:
| card_type  | pan              | name                      | exp_date | code | disc_data_t2  |
| MasterCard | 45358179327829   | EKRLOFKPUUTQURT/ALMPWTZUL | 2007     | 707  | 965000469     |
| VISA       | 34798979016630   | XNHKBPMOENSGWLH/VVKLBTTVC | 2011     | 885  | 823693372     |
| AMEX 1     | 37158413190797   | YYBROXFQJRXJW/EVXOV       | 2001     | 442  | 13685         |
| DISCOVER   | 6510000000000091 | CARD/IMAGE 09             | 1712     | 702  | 1000041300000 |
| Diners     | 36039667170472   | PETTITT/JO                | 0012     | 521  | 1000041300000 |"
Unknown,"@sde @msr @00x @62x @61x @23x @dx8000 @ex8000 @dx4000 @rx5000 @rx7000
Feature:  Validate On-Guard SDE Encryption for MSR transaction with 1 only track card data
""""""
This feature file validates Validate On-Guard SDE Encryption for MSR transaction with one track only card data
based on ticket ARC-5325
""""""
Scenario: Enable On-Guard SDE Encryption Configuration"
Precondition,"Given I send a 00.x Offline message to the terminal with params:
| p00_req_reason_code | 0000 |
Then I should receive the 00.x Offline response from terminal with params:
| p00_res_reason_code | 0000 |"
Unknown,"When I have successfully sent ""Files/p2p_encryptions/ArcOnGuardSDE.apk"" file using these params:
| p62_req_file_name       | ArcOnGuardSDE.apk |
| p62_req_encoding_format | B                 |
| p62_req_fast_download   | 1                 |
| p62_req_unpack_flag     | 0                 |
Then I should receive the 62.x Write File response from terminal with params:
| p62_res_status      | 0            |
| p62_res_file_length | @regexp:.\d* |"
Precondition,"When I send a 61.x Read Configuration message to the terminal with:
| p61_req_group_num | 91 |
| p61_req_index_num | 1  |
Then I should receive the 61.x Read Configuration response from terminal with params:
| p61_res_status                | 2  |
| p61_res_group_num             | 91 |
| p61_res_index_num             | 1  |
| p61_res_data_config_parameter | 19 |
Scenario Outline: On-Guard SDE Encryption For MSR Transaction with only track1 data
Given I send a 00.x Offline message to the terminal with params:
| p00_req_reason_code | 0000 |
Then I should receive the 00.x Offline response from terminal with params:
| p00_res_reason_code | 0000 |
And I Wait until Element ""title"" contains ""This Lane Closed""
When I send a 61.x Read Configuration message to the terminal with:
| p61_req_group_num | 91 |
| p61_req_index_num | 1  |
Then I should receive the 61.x Read Configuration response from terminal with params:
| p61_res_status                | 2  |
| p61_res_group_num             | 91 |
| p61_res_index_num             | 1  |
| p61_res_data_config_parameter | 19 |"
Card Swipe,"When I send a 23.x Read Card message to the terminal with:
| p23_req_prompt_index   | 3 |
| p23_req_enable_devices | M |
Then I Wait until Element ""title"" contains ""Please slide card""
And  I wait until Element ""btn_cancel"" visible"
Card Swipe,"When Axium swipe magnetic card:
| track1 | B<pan>^<name>^<exp_date><code><disc_data_t1> |
| track2 |                                              |
| track3 |                                              |
Then I should receive the 23.x Card Read response from terminal with params:
| p23_res_exit_type   | 0                                                            |
| p23_res_card_source | M                                                            |
| p23_res_track1      | %B<masked_pan>^<name>^<exp_date><code><masked_disc_data_t1>? |
| p23_res_track2      |                                                              |
| p23_res_track3      | @regexp:.+                                                   |"
Unknown,"And decrypted field ""p23_res_track3"" with ON GUARD SDE algorithm should match the following data:
| result | B<pan>^<name>^<exp_date><code><disc_data_t1><null_characters> |
Examples:
| card_type  | pan              | name               | exp_date | code | disc_data_t1                 | masked_pan       | masked_disc_data_t1          | null_characters          |
| Mastercard | 5413330089020011 | TEST/CARD          | 2412     | 221  | 000000140000000              | 5413330000000011 | 000000000000000              | \x00\x00\x00\x00\x00\x00 |
| Amex       | 374245001731008  | XP CARD 07/VER 2.0 | 2103     | 201  | 150412345                    | 374245000001008  | 000000000                    | \x00\x00\x00\x00         |
| VISA       | 4264510228395621 | JOHN/SMITH         | 1709     | 206  | 0000000000000000000704001000 | 4264510000005621 | 0000000000000000000000000000 |                          |
| DISCOVER   | 6510000000000091 | CARD/IMAGE 09      | 1712     | 702  | 1000041300000                | 6510000000000091 | 0000000000000                | \x00\x00\x00\x00         |
| Diners     | 36039667170472   | PETTITT/JO         | 0012     | 521  | 16010000000000000946         | 36039600000472   | 00000000000000000000         | \x00\x00                 |
Scenario Outline: On-Guard SDE Encryption For MSR Transaction with only track2 data"
Precondition,"Given I send a 00.x Offline message to the terminal with params:
| p00_req_reason_code | 0000 |
Then I should receive the 00.x Offline response from terminal with params:
| p00_res_reason_code | 0000 |
And I Wait until Element ""title"" contains ""This Lane Closed""
When I send a 61.x Read Configuration message to the terminal with:
| p61_req_group_num | 91 |
| p61_req_index_num | 1  |
Then I should receive the 61.x Read Configuration response from terminal with params:
| p61_res_status                | 2  |
| p61_res_group_num             | 91 |
| p61_res_index_num             | 1  |
| p61_res_data_config_parameter | 19 |"
Card Swipe,"When I send a 23.x Read Card message to the terminal with:
| p23_req_prompt_index   | 3 |
| p23_req_enable_devices | M |
Then I Wait until Element ""title"" contains ""Please slide card""
And  I wait until Element ""btn_cancel"" visible"
Card Swipe,"When Axium swipe magnetic card:
| track1 |                                      |
| track2 | <pan>=<exp_date><code><disc_data_t2> |
| track3 |                                      |
Then I should receive the 23.x Card Read response from terminal with params:
| p23_res_exit_type   | 0                                                    |
| p23_res_card_source | M                                                    |
| p23_res_track1      |                                                      |
| p23_res_track2      | ;<masked_pan>=<exp_date><code><masked_disc_data_t2>? |
| p23_res_track3      | @regexp:.+                                           |"
Unknown,"And decrypted field ""p23_res_track3"" with ON GUARD SDE algorithm should match the following data:
| result | <pan>=<exp_date><code><disc_data_t2><null_characters> |
Examples:
| card_type  | pan              | exp_date | code | disc_data_t2   | masked_pan       | masked_disc_data_t2 | null_characters      |
| Mastercard | 5413330089020011 | 2412     | 221  | 0000014000001  | 5413330000000011 | 0000000000000       | \x00\x00\x00         |
| Amex       | 374245001731008  | 2103     | 201  | 15041234500000 | 374245000001008  | 00000000000000      | \x00\x00\x00         |
| VISA       | 4264510228395621 | 1709     | 206  | 0000070400100  | 4264510000005621 | 0000000000000       | \x00\x00\x00         |
| DISCOVER   | 6510000000000091 | 1712     | 702  | 1000041300000  | 6510000000000091 | 0000000000000       | \x00\x00\x00         |
| Diners     | 36039667170472   | 0012     | 521  | 1000041300000  | 36039600000472   | 0000000000000       | \x00\x00\x00\x00\x00 |
Scenario: Teardown - Reset to Default State"
Precondition,"Given I send a 00.x Offline message to the terminal with params:
| p00_req_reason_code | 0000 |
Then I should receive the 00.x Offline response from terminal with params:
| p00_res_reason_code | 0000 |
And I Wait until Element ""title"" contains ""This Lane Closed"""
Unknown,"When I have successfully sent ""Files/p2p_encryptions/ArcNoEncryption.apk"" file using these params:
| p62_req_file_name       | ArcNoEncryption.apk |
| p62_req_encoding_format | B                   |
| p62_req_fast_download   | 1                   |
| p62_req_unpack_flag     | 0                   |
Then I should receive the 62.x Write File response from terminal with params:
| p62_res_status      | 0          |
| p62_res_file_length | @regexp:.* |
When I send a 61.x Configuration Read message to the terminal with:
| p61_req_group_num | 91 |
| p61_req_index_num | 1  |
Then I should receive the 61.x Configuration Read response from terminal with params:
| p61_res_status                | 2  |
| p61_res_group_num             | 91 |
| p61_res_index_num             | 1  |
| p61_res_data_config_parameter | 0  |
@p2p @chapter_x @msr @00x @62x @61x @23x @dx8000 @ex8000 @dx4000 @rx5000 @rx7000
Feature: validate chapter X Decryption
""""""
This feature file validates chapterX Encryption for MSR transaction
https://testlink.evf.us/linkto.php?tprojectPrefix=ARC&item=testcase&id=ARC-1348
""""""
Scenario Outline: chapter X Encryption For MSR Transaction"
Precondition,"Given I send a 00.x Offline message to the terminal with params:
| p00_req_reason_code | 0000 |
Then I should receive the 00.x Offline response from terminal with params:
| p00_res_reason_code | 0000 |
And I Wait until Element ""title"" contains ""This Lane Closed"""
Unknown,"When I send a 61.x Configuration Read message to the terminal with:
| p61_req_group_num | 91 |
| p61_req_index_num | 1  |
Then I should receive the 61.x Configuration Read response from terminal with params:
| p61_res_status                | 2  |
| p61_res_group_num             | 91 |
| p61_res_index_num             | 1  |
| p61_res_data_config_parameter | 30 |"
Card Swipe,"When I send a 23.x Card Read message to the terminal with:
| p23_req_prompt_index   | 311        |
| p23_req_form_name      | read_cards |
| p23_req_enable_devices | M          |
Then I Wait until Element ""title"" contains ""Please swipe or insert card"""
Unknown,"And  I wait until Element ""btn_cancel"" visible"
Card Swipe,"When Axium swipe magnetic card:
| track1 | B<pan>^<name>^<exp_date><code><disc_data_t1> |
| track2 | <pan>=<exp_date><code><disc_data_t2>         |
| track3 | <additional_data><additional_data>           |
Then I should receive the 23.x Card Read response from terminal with params:
| p23_res_exit_type   | 0                                                            |
| p23_res_card_source | M                                                            |
| p23_res_track1      | %B<masked_pan>^<name>^<exp_date><code><masked_disc_data_t1>? |
| p23_res_track2      | ;<masked_pan>=<exp_date><code><masked_disc_data_t2>?         |
| p23_res_track3      | @regexp:.+                                                   |"
Unknown,"And decrypted field 'p23_res_track3' with Chapter X algorithm should match the following data:
| ret                 | 00                                                         |
| ez_track2_decrypted | <pan>D<exp_date><code><disc_data_t2><null_characters>      |
| ey_track1_decrypted | @regexp:^B<pan>\^<name>\^<exp_date><code><disc_data_t1>.+$ |
Examples:
| card_type  | pan              | name               | exp_date | code | disc_data_t1                 | disc_data_t2   | additional_data      | masked_pan       | masked_disc_data_t1          | masked_disc_data_t2 | null_characters |
| Mastercard | 5413330089020011 | TEST/CARD          | 2612     | 221  | 361010000000000933000000     | 0000014000001  | 01234567890123456789 | 5413330000000011 | 000000000000000000000000     | 0000000000000       | FFFFFFFFFFF     |
| Amex       | 374245001731008  | XP CARD 07/VER 2.0 | 2103     | 201  | 150412345                    | 15041234500000 |                      | 374245000001008  | 000000000                    | 00000000000000      | FFFFFFFFFFF     |
| VISA       | 4264510228395621 | JOHN/SMITH         | 1709     | 206  | 0000000000000000000704001000 | 0000070400100  |                      | 4264510000005621 | 0000000000000000000000000000 | 0000000000000       | FFFFFFFFFFF     |
| DISCOVER   | 6510000000000091 | CARD/IMAGE 09      | 1712     | 702  | 1000041300000                | 1000041300000  |                      | 6510000000000091 | 0000000000000                | 0000000000000       | FFFFFFFFFFF     |
| Diners     | 36039667170472   | PETTITT/JO         | 0012     | 521  | 16010000000000000946         | 1000041300000  | 01234567890123456789 | 36039600000472   | 00000000000000000000         | 0000000000000       | FFFFFFFFFFFFF   |
| VISA       | 4761739001010010 | Test Card 04       | 2212     | 201  | 16010000000000000946         | 1000041300000  | 01234567890123456789 | 4761730000000010 | 00000000000000000000         | 0000000000000       | FFFFFFFFFFF     |
| Mastercard | 541389099130     | Test Card 20       | 2512     | 201  | 16010000000000000946         | 1000041300000  | 01234567890123456789 | 541389000130     | 00000000000000000000         | 0000000000000       | FFFFFFFFFFFFFFF |
@msr @fpe @00x @61x @23x @62x @dx8000 @ex8000 @dx4000 @rx5000 @rx7000
Feature: Validate On Guard FPE Encryption for MSR Transaction
""""""
This feature file validates On Guard FPE Encryption For MSR Transaction
TestLink test case link : https://testlink.evf.us/linkto.php?tprojectPrefix=ARC&item=testcase&id=ARC-993.
""""""
Scenario Outline: On-Guard FPE Encryption For MSR Transaction"
Precondition,"Given I send a 00.x Offline message to the terminal with params:
| p00_req_reason_code | 0000 |
Then I should receive the 00.x Offline response from terminal with params:
| p00_res_reason_code | 0000 |
And I Wait until Element ""title"" contains ""This Lane Closed"""
Unknown,"When I send a 61.x Configuration Read message to the terminal with:
| p61_req_group_num | 91 |
| p61_req_index_num | 1  |
Then I should receive the 61.x Configuration Read response from terminal with params:
| p61_res_status                | 2  |
| p61_res_group_num             | 91 |
| p61_res_index_num             | 1  |
| p61_res_data_config_parameter | 2  |"
Card Swipe,"When I send a 23.x Card Read message to the terminal with:
| p23_req_prompt_index   | 311        |
| p23_req_form_name      | read_cards |
| p23_req_enable_devices | M          |
Then I Wait until Element ""title"" contains ""Please swipe or insert card"""
Unknown,"And  I wait until Element ""btn_cancel"" visible"
Card Swipe,"When Axium swipe magnetic card:
| track1 | B<pan>^<name>^<exp_date><code><disc_data_t1> |
| track2 | <pan>=<exp_date><code><disc_data_t2>         |
| track3 | <additional_data><additional_data>           |
Then I should receive the 23.x Card Read response from terminal with params:
| p23_res_exit_type   | 0                                                            |
| p23_res_card_source | M                                                            |
| p23_res_track1      | %B<masked_pan>^<name>^<exp_date><code><masked_disc_data_t1>? |
| p23_res_track2      | ;<masked_pan>=<exp_date><code><masked_disc_data_t2>?         |
| p23_res_track3      | @regexp:.+                                                   |"
Unknown,"And decrypted field ""p23_res_track3"" with ON GUARD algorithm should match the following MSR data:
| track2 | <pan>=<exp_date><code><disc_data_t2> |
Examples:
| card_type  | pan              | name               | exp_date | code | disc_data_t1                 | disc_data_t2   | additional_data      | masked_pan       | masked_disc_data_t1          | masked_disc_data_t2 |
| Mastercard | 5413330089020011 | TEST/CARD          | 2412     | 221  | 000000140000000              | 0000014000001  | 01234567890123456789 | 5413330000000011 | 000000000000000              | 0000000000000       |
| Amex       | 374245001731008  | XP CARD 07/VER 2.0 | 2103     | 201  | 150412345                    | 15041234500000 |                      | 374245000001008  | 000000000                    | 00000000000000      |
| VISA       | 4264510228395621 | JOHN/SMITH         | 1709     | 206  | 0000000000000000000704001000 | 0000070400100  |                      | 4264510000005621 | 0000000000000000000000000000 | 0000000000000       |
| DISCOVER   | 6510000000000091 | CARD/IMAGE 09      | 1712     | 702  | 1000041300000                | 1000041300000  |                      | 6510000000000091 | 0000000000000                | 0000000000000       |
| Diners     | 36039667170472   | PETTITT/JO         | 0012     | 521  | 16010000000000000946         | 1000041300000  | 01234567890123456789 | 36039600000472   | 00000000000000000000         | 0000000000000       |
| VISA       | 4761739001010010 | Test Card 04       | 2212     | 201  | 16010000000000000946         | 1000041300000  | 01234567890123456789 | 4761730000000010 | 00000000000000000000         | 0000000000000       |
| Mastercard | 5413330089099130 | Test Card 20       | 2512     | 201  | 16010000000000000946         | 1000041300000  | 01234567890123456789 | 5413330000009130 | 00000000000000000000         | 0000000000000       |
@sde @msr @00x @62x @61x @23x @dx8000 @ex8000 @dx4000 @rx5000 @rx7000
Feature: Validate On-Guard SDE Encryption for MSR transaction
""""""
This feature file validates On-Guard SDE Encryption for MSR transaction
https://testlink.evf.us/linkto.php?tprojectPrefix=ARC&item=testcase&id=ARC-985
""""""
Scenario Outline: On-Guard SDE Encryption For MSR Transaction
#Step 5"
Precondition,"Given I send a 00.x Offline message to the terminal with params:
| p00_req_reason_code | 0000 |
Then I should receive the 00.x Offline response from terminal with params:
| p00_res_reason_code | 0000 |
And I Wait until Element ""title"" contains ""This Lane Closed""
When I send a 61.x Read Configuration message to the terminal with:
| p61_req_group_num | 91 |
| p61_req_index_num | 1  |
Then I should receive the 61.x Read Configuration response from terminal with params:
| p61_res_status                | 2  |
| p61_res_group_num             | 91 |
| p61_res_index_num             | 1  |
| p61_res_data_config_parameter | 19 |"
